,time,open,high,low,close,volume,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,macd_short_window,macd_long_window,macd,macd_signal,macd_crossover_long,macd_crossover_short,macd_crossover_signal,rsi,rsi_long,rsi_short,rsi_signal,fast_volatility,slow_volatility,volatility_trend_long,volatility_trend_short,volatility_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal
0,2020-03-02,194.1,196.57,188.85,196.54,21795546,0.0,196.54,196.54,0.0,0.0,0.0,196.54,196.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-03,196.22,197.24,183.97,185.89,24693345,-0.05418744275974363,189.43999999999997,190.8464891112949,0.0,-1.0,-1.0,194.90153846153845,195.7511111111111,-0.8495726495726501,-0.16991452991453004,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-04,189.05,191.83,186.39,191.79,20486825,0.03173920060250679,190.78285714285715,191.2054556738763,0.0,-1.0,-1.0,194.42284023668637,195.45769547325102,-1.0348552365646526,-0.34290267124455454,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.060759312206045316,0.06075931220604531,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-05,186.78,188.99,183.8901,185.02,21975861,-0.035299024975233184,187.70933333333335,189.3243275039964,0.0,-1.0,-1.0,192.97624943104233,194.68453284560277,-1.7082834145604409,-0.6159788199077318,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.04315538986926496,0.04447960572299498,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-06,178.33,183.78,176.26,181.11,21916170,-0.021132850502648348,184.30322580645162,187.19764736740942,0.0,-1.0,-1.0,191.15067259549735,193.67901189407664,-2.528339298579283,-0.998450915642042,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.02828890999652878,0.03503759499139903,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-09,169.6,175.0,165.19,168.6,26418975,-0.06907404339903933,176.32698412698414,182.93458804400268,0.0,-1.0,-1.0,187.68133835003624,191.82130730933022,-4.139968959293981,-1.62675452437243,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.03610036144989183,0.03812433477565022,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-10,174.67,178.29,169.5,178.19,42200790,0.05688018979833931,177.26582677165356,181.9456763257848,0.0,-1.0,-1.0,186.22113245003067,190.81158084197244,-4.590448391941777,-2.2194932978862996,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0679168340275806,0.052713601239653705,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-11,173.86,175.88,167.66,170.22,37010571,-0.04472753802121332,173.72909803921567,179.68059641535316,0.0,-1.0,-1.0,183.75941976541057,189.28627855738188,-5.526858791971307,-2.8809663967033012,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.05713459682875276,0.048510748670972804,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-12,159.54,166.6,154.34,154.46,39090919,-0.09258606509223355,164.07569471624265,175.10052400523136,0.0,-1.0,-1.0,179.2518167245782,186.70655421979802,-7.454737495219831,-3.7957206164066073,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0603523309193042,0.0533887704155405,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-13,163.16,170.79,157.6,170.62,29428089,0.10462255600155368,167.351045943304,174.32718892707751,0.0,-1.0,-1.0,177.9238449207969,185.51495761092409,-7.591112690127176,-4.554799031150721,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.10731779223770602,0.07425349747740555,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-16,152.32,159.13,143.1,145.96,72152076,-0.14453170788887582,156.6502979970689,169.6335625218523,0.0,-1.0,-1.0,173.0063303175974,182.58496075085563,-9.57863043325824,-5.559565311572225,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.12830935876227506,0.08673806679073334,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-17,150.74,153.94,140.0,149.42,31562530,0.023705124691696167,153.0342661782662,166.40528379644294,0.0,-1.0,-1.0,169.37766411489008,180.12829699153298,-10.750632876642896,-6.59777882458636,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.10421478331031402,0.08183537905967196,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-18,139.75,148.18,137.1006,147.05,29533901,-0.015861330477847546,150.04176779392017,163.40486939435593,0.0,-1.0,-1.0,165.94263886644546,177.67805276993795,-11.735413903492486,-7.625305840367585,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.07368682421118944,0.07480177084834932,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-19,146.62,159.9294,144.8,153.03,70865214,0.04066643998639918,151.53597509613624,161.83667570671682,0.0,-1.0,-1.0,163.95607904083846,175.85227108327587,-11.896192042437406,-8.479483080781549,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.062948963188637,0.07252057248233418,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-20,156.02,159.27,148.0,149.73,30645720,-0.02156439913742414,150.63295999023404,160.0455873060414,0.0,-1.0,-1.0,161.76745149609405,173.91728804007025,-12.149836543976193,-9.213553773420479,0.0,-1.0,-1.0,33.5555420459002,1.0,0.0,1.0,0.048980532615966556,0.06676542813941803,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-23,149.66,152.31,142.25,147.8,26881306,-0.01288986842984019,149.21645838101776,158.26684195640547,0.0,-1.0,-1.0,159.61861280438728,171.98267411117615,-12.36406130678887,-9.843655280094158,0.0,-1.0,-1.0,32.71679237959664,1.0,0.0,1.0,0.03497975491851083,0.061513038823217264,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-24,155.205,161.31,152.57,161.22,25999531,0.0907983761840323,155.21827498073563,158.68913100866962,0.0,-1.0,-1.0,159.8649800652508,171.18543899182978,-11.320458926578993,-10.139016009391124,0.0,-1.0,-1.0,43.324948761963874,1.0,0.0,1.0,0.06586207277148547,0.0685024202164041,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-25,158.92,162.99,153.06,156.16,62557455,-0.031385684158293015,155.68913928657258,158.33230963518136,0.0,-1.0,-1.0,159.29498313213526,170.07244351095352,-10.777460378818262,-10.266704883276551,0.0,-1.0,-1.0,40.7181700714155,1.0,0.0,1.0,0.06427731541660903,0.06449351775155192,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-26,158.35,164.0,157.0201,163.35,23443636,0.04604252049180335,159.51957694926634,159.03208634896058,1.0,0.0,1.0,159.91883188103753,169.57448473236437,-9.655652851326835,-10.144494476886608,1.0,0.0,1.0,45.71620580267916,1.0,0.0,1.0,0.05200039720769884,0.062288370277780794,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-27,158.32,160.09,154.75,156.77,42910937,-0.04028160391796742,158.14478716353145,158.71973882506887,0.0,-1.0,-1.0,159.43439620703174,168.62600438181886,-9.19160817478712,-9.953917216466712,1.0,0.0,1.0,42.20897573613589,1.0,0.0,1.0,0.054502459549552844,0.05990783300921495,1.0,0.0,1.0,165.6465,16.092406275533882,197.83131255106775,133.46168744893225,0.0,0.0,0.0
20,2020-03-30,159.18,166.75,158.06,165.85,20555939,0.05791924475346044,161.99739541883247,159.6958571394944,1.0,0.0,1.0,160.4214121751807,168.42037442761006,-7.998962252429351,-9.56292622365924,1.0,0.0,1.0,48.12337242670324,1.0,0.0,1.0,0.055559674947276705,0.05961517753493328,1.0,0.0,1.0,164.11200000000002,14.361653108190582,192.83530621638118,135.38869378361886,0.0,0.0,0.0
21,2020-03-31,165.48,170.93,164.2,166.79,42024824,0.005667772083207678,164.39369828073936,160.65985058792734,1.0,0.0,1.0,161.4011949174606,168.29960595149078,-6.898411034030175,-9.030023185733427,1.0,0.0,1.0,48.70859536376529,1.0,0.0,1.0,0.04107470920147522,0.055346830037072636,1.0,0.0,1.0,163.157,13.44292891801252,190.04285783602506,136.27114216397496,0.0,0.0,0.0
22,2020-04-01,161.615,164.15,158.035,159.6,17568762,-0.04310810000599552,161.99684885464293,160.51675294926002,1.0,0.0,1.0,161.12408800708207,167.65519069582479,-6.53110268874272,-8.530239086335285,1.0,0.0,1.0,44.567165266180105,1.0,0.0,1.0,0.04614860522594512,0.05432920247821267,1.0,0.0,1.0,161.5475,11.64051042243154,184.82852084486308,138.26647915513695,0.0,0.0,0.0
23,2020-04-02,159.1,161.3509,155.92,158.2,36188716,-0.00877192982456143,160.09842431416655,160.20568420516398,0.0,-1.0,-1.0,160.6742283136848,166.95480619983778,-6.280577886152969,-8.080306846298823,1.0,0.0,1.0,43.786493053419136,1.0,0.0,1.0,0.032778453074522006,0.0505868975017433,1.0,0.0,1.0,160.2065,10.256730922205517,180.71996184441105,139.69303815558897,0.0,0.0,0.0
24,2020-04-03,157.15,157.91,150.83,154.19,32151306,-0.025347661188369064,157.1442120690409,159.40183704981237,0.0,-1.0,-1.0,159.67665472696407,166.00926499984982,-6.332610272885745,-7.730767531616208,1.0,0.0,1.0,41.541882976072664,1.0,0.0,1.0,0.02472293583123319,0.04778908628345704,1.0,0.0,1.0,158.8605,9.066472925884133,176.99344585176826,140.72755414823175,0.0,0.0,0.0
25,2020-04-06,160.15,166.2,158.51,165.55,23379664,0.07367533562487849,161.34710609714847,160.2199703558022,1.0,0.0,1.0,160.58024630743114,165.97524537023133,-5.394999062800196,-7.263613837853006,1.0,0.0,1.0,49.44791328205331,1.0,0.0,1.0,0.05898750244388244,0.05242267074866314,0.0,-1.0,-1.0,158.70800000000003,8.918473199518337,176.5449463990367,140.87105360096336,0.0,0.0,0.0
26,2020-04-07,171.5,173.39,166.01,168.83,28489714,0.019812745394140796,165.08855307645018,161.36157043948424,1.0,0.0,1.0,161.84943918321096,166.18670867614014,-4.337269492929181,-6.678344968868242,1.0,0.0,1.0,51.4879747532461,1.0,0.0,1.0,0.04198748615222772,0.04905058003441096,1.0,0.0,1.0,158.24,8.045169194518012,174.33033838903603,142.149661610964,0.0,0.0,0.0
27,2020-04-08,172.26,175.0,167.74,174.28,37643598,0.03228099271456486,169.68427655534546,163.06905766451948,1.0,0.0,1.0,163.76183315502465,166.78621173716678,-3.024378582142134,-5.94755169152302,1.0,0.0,1.0,54.75520775204696,1.0,0.0,1.0,0.03014634816308698,0.046495800004852275,1.0,0.0,1.0,158.44300000000004,8.406473758516833,175.25594751703372,141.63005248296636,0.0,0.0,0.0
28,2020-04-09,175.9,177.08,171.57,175.2,21496914,0.005278861602019624,172.44213828280965,164.66810161585443,1.0,0.0,1.0,165.52155113117468,167.40945531219148,-1.8879041810168076,-5.1356221894217775,1.0,0.0,1.0,55.30246345707169,1.0,0.0,1.0,0.025459987772310334,0.04334727319175599,1.0,0.0,1.0,159.48000000000002,9.136775315060301,177.75355063012063,141.2064493698794,0.0,0.0,0.0
29,2020-04-13,173.67,175.0,169.45,174.79,17528292,-0.002340182648401856,173.6160691424981,165.99917366075755,1.0,0.0,1.0,166.94746634176317,167.95616232610323,-1.0086959843400507,-4.310236948405432,1.0,0.0,1.0,54.9832853474814,1.0,0.0,1.0,0.021430827129985706,0.0406154754825236,1.0,0.0,1.0,159.68850000000003,9.44669158182407,178.58188316364817,140.7951168363519,0.0,0.0,0.0
30,2020-04-14,178.9765,181.225,176.62,178.14,38605489,0.019165856170261453,175.87803457230237,167.59246936133005,1.0,0.0,1.0,168.66939459687651,168.7105206723178,-0.04112607544129787,-3.4564147738126056,1.0,0.0,1.0,57.15896146595429,1.0,0.0,1.0,0.01684511244199433,0.03803076237101748,1.0,0.0,1.0,161.2975,9.721836990697009,180.74117398139404,141.853826018606,0.0,0.0,0.0
